,org_id,year,total_donated_sum,total_donated_median,total_donated_mean,total_donated_var,total_donated_min,total_donated_max,total_pledged_sum,total_pledged_median,total_pledged_mean,total_pledged_var,total_pledged_min,total_pledged_max
0,ARKANSAS,2010,13033240.17,500.0,1220.7980676283253,8650827.35280908,0.0,100000.0,13123743.67,500.0,1229.2753531285125,8666446.222122043,0.0,100000.0
1,ARKANSAS,2011,19467473.660000008,750.0,1522.6807712162695,8872069.680062886,0.0,98197.12,19593068.94,750.0,1532.5044145482987,8881154.071005704,50.0,98197.12
2,ARKANSAS,2012,20610486.11,780.0,1605.053041819173,8973810.267730495,0.0,100000.0,20723626.8,800.0,1613.863935830543,8974859.422323583,0.0,100000.0
3,ARKANSAS,2013,20433144.84,800.0,1706.4593986971772,9941689.89617177,0.0,110000.0,20533073.84,825.0,1714.804897277434,9945875.147918817,0.0,110000.0
4,ARKANSAS,2014,20277188.02,750.0,1663.2916102042484,10370451.884272583,0.0,110000.0,20340067.52,750.0,1668.4494725617255,10369670.930362398,0.0,110000.0
5,ARKANSAS,2015,20836075.68,900.0,1802.4286920415225,11823695.059616005,0.0,110000.0,20929492.91,900.0,1810.509767301038,11817193.250877785,50.0,110000.0
6,ARKANSAS,2016,20669632.99,825.0,1817.1105925274728,11611706.864571527,0.0,100000.0,20841097.44,850.0,1832.1843903296704,11714751.19283633,0.0,100000.0
7,ARKANSAS,2017,19487942.12,900.0,1862.735817243357,12843931.440664666,0.0,110000.0,19626805.56,900.0,1876.0089428407568,12880506.189416315,50.0,110000.0
8,ARKANSAS,2018,18050755.820000004,850.0,1857.8381864965008,12029430.17216798,0.0,110000.0,18216388.19,900.0,1874.8855691642648,12065186.53874271,50.0,110000.0
9,ARKANSAS,2019,16586403.4,300.0,1246.4419779063649,8307561.772289937,0.0,100000.0,16721103.919999998,300.0,1256.5645089050875,8375795.8716912065,15.0,100000.0
10,ARKANSAS,2020,14604677.78,400.0,1417.1043838540656,10963423.800016962,0.0,150000.0,15066154.98,450.0,1461.8819115078595,11310439.1876411,15.0,150000.0
11,ARKANSAS,2021,6448434.700000004,300.0,1179.0884439568486,11614907.315458022,0.0,150000.0,12269770.56,1000.0,2243.512627537027,17763142.185517676,50.0,150000.0
12,ARMY,2019,8434354.970000003,375.0,1550.7179573451003,16467992.799683945,0.0,100000.0,8568386.250000004,375.0,1575.3605901820195,16862417.187088,0.0,100000.0
13,ARMY,2020,4936148.630000001,375.0,1576.0372381864627,12376849.777022045,0.0,49275.0,5652202.5,400.0,1804.662356321839,14821624.256697275,100.0,49275.0
14,ARMY,2021,32500.0,0.0,3611.111111111111,70486111.11111109,0.0,25000.0,100833.0,7500.0,11203.666666666664,115207446.0,1000.0,25000.0
15,BAYLOR,2018,14470727.71,750.0,2855.3132813733228,45637790.90263792,0.0,100000.0,15108036.98,750.0,2981.0649131807418,46879329.91868885,0.0,100000.0
16,BAYLOR,2019,14020166.56,400.0,2348.8300485843524,38630850.962669946,0.0,94200.0,14338882.57,400.0,2402.2252588373262,39849143.2756295,0.0,94200.0
17,BAYLOR,2020,11158147.94,200.0,1753.8742439484436,31724104.89741348,0.0,94200.0,15177044.229999995,400.0,2385.5775275070723,40219850.74373277,0.0,94200.0
18,CFL,2017,172671.35,200.0,741.0787553648069,2728304.796885082,0.0,11850.0,10000.0,0.0,42.91845493562232,429184.5493562234,0.0,10000.0
19,CFL,2018,183220.0,150.0,769.8319327731093,5034287.752224944,50.0,20000.0,10150.0,0.0,42.647058823529406,420167.22511789505,0.0,10000.0
20,CFL,2019,198882.8,131.0,1274.8897435897436,25611188.738401234,50.0,53370.69,0.0,0.0,0.0,0.0,0.0,0.0
21,CFL,2020,72866.79000000001,75.0,369.88218274111676,1856971.1481610262,0.0,10000.0,77810.54000000001,100.0,394.9773604060914,1900933.713574629,50.0,10000.0
22,COLORADO,2012,9859783.46,400.0,1632.6847921841363,126930068.70406827,0.0,571239.55,10066023.79,400.0,1666.8361963901307,128212289.23377448,5.0,571239.55
23,COLORADO,2013,8720920.430000003,300.0,1249.2365606646615,51506761.64131801,0.0,284745.13,8784253.430000003,300.0,1258.3087566251254,51602510.53564741,0.0,284745.13
24,COLORADO,2014,12931688.750000002,350.0,1887.0113453961767,379083769.00838906,0.0,1366167.24,13256853.750000002,400.0,1934.4599080694586,379635767.6255584,0.3,1366167.24
25,COLORADO,2015,14318038.580000006,300.0,2135.1086459886674,344312684.35124904,0.0,1002378.0,14591978.620000005,350.0,2175.958637041456,344924284.75722235,0.25,1002378.0
26,COLORADO,2016,14121464.160000006,300.0,1874.6135882118685,212276508.99567413,0.0,699404.5,14711842.150000004,300.0,1952.9858157440603,251274372.97367948,1.0,699404.5
27,COLORADO,2017,14944647.48,300.0,2103.3986600985213,495253914.77693254,0.0,1400000.0,15952454.829999994,300.0,2245.243466572835,531700734.6354935,0.0,1405950.0
28,COLORADO,2018,19492020.779999994,300.0,2836.0280488869485,1296190127.4520981,0.0,2546352.69,19421175.62,300.0,2825.7202997235563,1295975853.7533085,0.0,2546352.69
29,COLORADO,2019,17215104.289999995,250.0,2075.10900313404,267671407.41113427,0.0,700000.0,18764595.57,250.0,2261.884711909353,488246341.060069,0.0,1335280.0
30,COLORADO,2020,7876658.66,150.0,1235.7481424537182,62720255.28621119,0.0,301850.0,8337760.080000001,245.0,1308.08912456856,63630410.12008175,0.0,301850.0
31,ECU,2016,8931283.359999988,100.0,509.2532421028617,2642224.4506344525,0.0,73600.0,9085269.729999986,100.0,518.0333977648527,2709937.067760758,0.01,73600.0
32,ECU,2017,8780560.319999997,100.0,568.3578432260987,3333262.9260141393,0.0,57415.6,8916852.959999992,100.0,577.1799443329661,3424716.444306286,0.0,57415.6
33,ECU,2018,8362287.559999996,100.0,612.2629638307218,4258499.442473273,0.0,93410.53,8426640.089999996,100.0,616.9746734514567,4241388.606500625,0.0,93410.53
34,ECU,2019,8338815.689999999,100.0,668.0137539053113,3988853.3221877967,0.0,64250.0,8454644.02,100.0,677.2926395898421,4161000.887960542,0.0,64250.0
35,ECU,2020,5482821.479999995,500.0,1273.593839721253,5676835.093285847,0.0,30000.0,6167740.160000005,550.44,1432.6922555168421,6198330.104228717,0.0,30000.0
36,FRESNO,2016,3967301.55,568.0,1503.905060652009,9017839.171055773,0.01,50000.0,3969901.55,568.0,1504.8906557998482,9066734.556394147,0.01,50000.0
37,FRESNO,2017,4055226.2,600.0,1574.2337732919254,9746465.344338292,1.0,55000.0,4057826.2,600.0,1575.2430900621118,9796395.969641302,1.0,55000.0
38,FRESNO,2018,4191970.7500000005,600.0,1599.378386112171,10026073.963668363,1.0,45000.0,4192104.0800000005,600.0,1599.4292560091571,10025924.749198196,1.0,45000.0
