,org_id,total_pay_all_large_sum_2018,total_pay_all_large_sum_2019,total_pay_all_large_sum_2020,total_pay_all_large_mean_2018,total_pay_all_large_mean_2019,total_pay_all_large_mean_2020,total_pay_all_large_median_2018,total_pay_all_large_median_2019,total_pay_all_large_median_2020,total_pay_all_large_min_2018,total_pay_all_large_min_2019,total_pay_all_large_min_2020,total_pay_all_large_max_2018,total_pay_all_large_max_2019,total_pay_all_large_max_2020,total_pay_all_large_var_2018,total_pay_all_large_var_2019,total_pay_all_large_var_2020,total_pay_all_large_size_2018,total_pay_all_large_size_2019,total_pay_all_large_size_2020,total_pay_all_small_sum_2018,total_pay_all_small_sum_2019,total_pay_all_small_sum_2020,total_pay_all_small_mean_2018,total_pay_all_small_mean_2019,total_pay_all_small_mean_2020,total_pay_all_small_median_2018,total_pay_all_small_median_2019,total_pay_all_small_median_2020,total_pay_all_small_min_2018,total_pay_all_small_min_2019,total_pay_all_small_min_2020,total_pay_all_small_max_2018,total_pay_all_small_max_2019,total_pay_all_small_max_2020,total_pay_all_small_var_2018,total_pay_all_small_var_2019,total_pay_all_small_var_2020,total_pay_all_small_size_2018,total_pay_all_small_size_2019,total_pay_all_small_size_2020
0,BAYLOR,13689172.830000395,16915916.22999926,7800155.659999899,375.84901515568606,357.8951915793771,407.2975646180303,30.0,50.0,50.0,-2970.0000000000005,-5625.000000000004,-3400.0,577366.299999999,698364.0,401391.0,20242868.28458772,26454844.050400954,16736080.27672747,36422.0,47265.0,19151.0,92563.0,126018.0,8671.0,2.5414035473065733,2.66620120596636,0.4527700903347084,0.0,0.0,0.0,0.0,0.0,-222.0,12264.999999999995,13745.0,1750.0,14699.014828353032,6223.6309803746935,315.30574572045435,36422.0,47265.0,19151.0
1,CINN,7977181.069999997,9003476.249999944,1908201.9100000127,321.3495435868512,249.08637885243027,205.22713594321496,56.0,38.12,14.5,-100.0,-5050.0,-2565.0,174164.0000000001,148911.0,22004.0,3507724.974584553,2195311.243304099,332522.893678478,24824.0,36146.0,9298.0,37307.0,72743.0,17277.0,1.5028601353528843,2.012477175897748,1.858141535814153,0.0,0.0,0.0,-8.88178419700125e-15,0.0,-160.0,2442.0,1985.0,2500.0,1110.7566288091805,429.8001209792091,1643.1192738179784,24824.0,36146.0,9298.0
2,COLORADO,16366195.640000034,20005561.5,7080534.479999998,254.98871432132674,314.95397440136014,223.21987641866318,0.0,0.0,0.0,-1.1368683772161605e-13,-1000.0,0.0,255265.0,300400.0,142093.0,5552744.254226474,7405036.1843760125,1747006.8645397048,64184.0,63519.0,31720.0,14893654.30000029,7171478.780000005,2863180.2400000007,232.04621556774728,112.90289173318227,90.2641941992434,0.0,0.0,0.0,-110.0,-1154.0,-4760.0,59366.0,122562.8,70780.4,500674.9816985137,950756.8732054428,283661.6273143928,64184.0,63519.0,31720.0
3,ECU,6580078.13999994,6172261.839999999,980872.14,188.2658046980041,180.496603111475,110.27230354131537,0.0,15.0,0.0,-180.0,-90.0,-312.6,75465.0,35080.0,11670.0,552453.1080578767,404206.5503283906,168866.06962276847,34951.0,34196.0,8895.0,859140.3800000005,1027159.0100000008,365805.4499999999,24.58128179451233,30.037402327757654,41.124839797639105,0.0,0.0,0.0,-21305.0,-1.4210854715202004e-14,-240.0,50190.0,8556.0,6700.0,138549.2879715423,40242.06226380295,51688.42733586086,34951.0,34196.0,8895.0
4,FTA,55661559.01999856,64447221.73000246,6356549.570000001,377.2565219630789,401.2653118112351,195.0280603197006,235.3,248.5,168.0,-3612.5,-1584.8,-36250.0,238933.1,510514.51,126000.0,2212204.2071215673,3662079.4773103576,1072197.9306396188,147543.0,160610.0,32593.0,138457.5,138075.0,15921.0,0.9384213415749983,0.859691177386215,0.4884791212837112,0.0,0.0,0.0,0.0,-15.0,-45.0,2160.0,1782.0,759.0,185.76960985413368,205.53366959935641,92.34265844102973,147543.0,160610.0,32593.0
5,KANSAS,21816410.929997798,22300808.26999885,1847924.3199999882,502.19628309004656,595.784463946965,169.45660889500118,20.0,57.84,2.0,-4290.0,-7049.999999999999,-30446.689999999537,1046156.960000076,1478314.2700001756,361632.5100000071,38691302.02198659,64177186.03418214,12693060.476040265,43442.0,37431.0,10905.0,70479.0,23700.0,4488.0,1.6223700566272268,0.633165023643504,0.4115543328748281,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,5083.0,450.0,1478.0,1704.4845648299772,68.98861845951555,297.48467939784075,43442.0,37431.0,10905.0
6,KSU,17889433.89,15679282.399999995,6112570.809999994,414.41423948295034,488.542481460709,339.17272278326465,45.0,60.0,0.0,-1155.0000000000002,-18480.0,-1999.9999999999993,137350.0,139150.0,154236.05,2476651.688726745,2647690.4588125627,1881545.073399477,43168.0,32094.0,18022.0,398477.75,113886.25,274.99999999999994,9.230859664566346,3.5485215305041438,0.015259127732771056,0.0,0.0,0.0,-3.0198066269804264e-14,-1000.0,-100.00000000000004,7438.0,4244.0,75.0,7308.298413667649,2547.8322064732865,1.4994064557945486,43168.0,32094.0,18022.0
7,LSU,67725613.31000015,76438103.07000141,44139091.36999996,780.8607354840215,792.0390337588741,1055.1009076349374,75.0,60.0,24.0,-5875.0,-3600.0,-9913.510000000004,685059.0000000009,726750.0,466137.9999999997,20079318.449483104,22388718.360901028,18779792.172451925,86732.0,96508.0,41834.0,1622879.0,13161421.0,2984009.0,18.711421390029052,136.3764765615286,71.32975570110436,0.0,0.0,0.0,-140.0,0.0,-1550.0,33012.0,72660.0,270510.0,19933.914588393785,459168.32871167705,3958147.967502178,86732.0,96508.0,41834.0
8,MICHST,46630030.26999758,46954080.09999622,12282266.650000092,607.5178199465518,588.2421931571419,437.3715066590731,167.0,120.0,41.27500000000001,-2400.0,-800.0,-3200.0,419655.5400000002,469235.7100000001,154932.86000000048,10263003.357392967,13532397.363695182,4712247.638692433,76755.0,79821.0,28082.0,378354.32,225465.5,10765.5,4.929376848413784,2.8246388794928654,0.3833594473328111,0.0,0.0,0.0,-200.0,-1645.0,-1770.0,40217.0,43129.0,5592.0,24520.352937917116,24174.047283045562,1567.1080514892578,76755.0,79821.0,28082.0
9,NCSU,24904290.38,26274723.96,8991888.760000063,493.3007899376052,448.28233058076836,353.969561075466,0.0,0.0,0.0,-544.0,-3981.0,-2719.000000000011,296800.0,629148.0,100000.0,6193168.33815888,14030063.909557948,1494964.483669922,50485.0,58612.0,25403.0,1059417.08,1235298.5500000005,77248.38999999997,20.984789145290684,21.075864157510413,3.0409160335393453,0.0,0.0,0.0,-456.0,-285.0,-3540.0,115266.0,135506.0,13586.0,282725.03999743256,331253.8421317355,23622.100567065085,50485.0,58612.0,25403.0
