,org_id,year,paymentamount_sum,paymentamount_mean,paymentamount_median,paymentamount_min,paymentamount_max,paymentamount_var,paymentamount_size
0,ARKANSAS,2015,28877522.71,1622.0593557265631,300.0,-5030.0,2006262.21,307123279.4994076,17803
1,ARKANSAS,2016,40461822.41999999,2316.0745518030903,300.0,-54225.0,3005000.0,1691835349.4072762,17470
2,ARKANSAS,2017,42733191.60999998,2109.2394674234934,50.0,-3000.0,2861531.2300000004,1160381741.8023624,20260
3,ARKANSAS,2018,26276378.35,1709.9224539597835,150.0,-5000.0,1810000.0,617827153.2016103,15367
4,ARKANSAS,2019,30281691.73999999,2237.1226167257682,270.0,-23995.0,3121050.0,1299979522.1629858,13536
5,ARKANSAS,2020,24841242.060000043,2233.3221307201334,330.0,-23362.79,1021200.0,237279756.9714251,11123
6,ARKANSAS,2021,12166428.850000022,1563.8083354755813,333.33,-9900.0,500000.0,85425519.58904842,7780
7,ARMY,2015,9963971.420000007,1671.526827713472,200.0,-125.0,1100000.0,463559578.5567329,5961
8,ARMY,2016,11887878.990000006,1895.993459330144,250.0,-10000.0,2300000.0,1099189546.952395,6270
9,ARMY,2017,12069054.019999996,1746.8597510493548,250.0,-5250.0,1400000.0,360584284.1570002,6909
10,ARMY,2018,11345896.949999992,1582.1917375540359,200.0,-30000.0,2188530.0,766582742.785282,7171
11,ARMY,2019,11800384.389999993,1517.734326688102,250.0,-2500.0,692478.4,134268653.63171768,7775
12,ARMY,2020,8113367.600000006,1683.271286307055,215.14,-10000.0,1120000.0,452817235.3182298,4820
13,BAYLOR,2015,12831253.549999988,2028.0154180496265,500.0,-3000.0,73000.0,20399921.42738947,6327
14,BAYLOR,2016,12981458.940000005,1708.5363174519614,400.0,-4000.0,67250.0,18316649.88949984,7598
15,BAYLOR,2017,15200161.409999995,2091.669383514517,400.0,-6000.0,280071.0,42768463.19005642,7267
16,BAYLOR,2018,12362316.869999995,1971.0326642219375,400.0,-4250.0,100000.0,24409878.612075306,6272
17,BAYLOR,2019,16081969.53000001,2513.5932369490483,400.01,0.0,146000.0,42059467.61748789,6398
18,BAYLOR,2020,7727838.759999995,1187.9844365872398,100.0,-10500.0,76000.0,14341284.839904016,6505
19,CFL,2017,2070532.82,1573.3532066869302,115.0,0.0,142500.0,64507473.2435215,1316
20,CFL,2018,214486.0,782.7956204379562,150.0,10.0,25000.0,5388872.082618112,274
21,CFL,2019,105481.69,824.075703125,100.0,15.0,25000.0,9135857.517500293,128
22,CFL,2020,191841.01,473.68150617283953,50.0,0.0,53370.69,8959014.764396492,405
23,CLEMSON,2015,91582488.6999998,4030.3872155965228,800.0,-2200.0,5015000.0,1669255239.3753927,22723
24,CLEMSON,2016,115611513.4599998,4803.336800864175,800.0,-20360.0,10027000.0,5980529574.19278,24069
25,CLEMSON,2017,148780085.51999986,5491.2558322875875,800.0,-5000.0,5360867.940000001,3206768748.31191,27094
26,CLEMSON,2018,100166337.43999986,4278.418650264815,750.0,-17000.0,5021000.0,2173484575.9137983,23412
27,CLEMSON,2019,117766993.69999984,4850.170656068524,800.0,-42300.0,4063846.32,1257479888.5458539,24281
28,CLEMSON,2020,83031495.74999997,3759.2926042468407,450.0,-25000.0,1524000.0,337215492.41399664,22087
29,CLEMSON,2021,28528813.66999993,1860.37259015324,700.0,-20000.0,1000075.0,114543474.54338178,15335
30,COLORADO,2015,14933806.000000007,1859.2885956175307,250.0,-125.0,1523079.4999999998,446888350.1483892,8032
31,COLORADO,2016,16338795.330000002,2123.5762061346504,250.0,-39210.0,800000.0,377016377.51540846,7694
32,COLORADO,2017,15433035.490000006,2233.4349479015923,290.0,-400000.0,810190.0,386243952.94123423,6910
33,COLORADO,2018,13076187.949999996,1995.146162648764,250.0,-200000.0,1936162.69,658752769.432896,6554
34,COLORADO,2019,19795359.650000006,2095.1904794665547,150.0,-20000.0,1400000.0,563952967.6294558,9448
35,COLORADO,2020,7355023.8900000015,1181.7197766709514,100.0,-1000.0,300000.0,64562153.53693298,6224
36,COLORADO,2021,0.0,0.0,0.0,0.0,0.0,,1
37,ECU,2015,11414177.769999996,618.8894306783058,50.0,-5000.0,400000.0,24950495.656222746,18443
38,ECU,2016,12824039.35999998,713.4375165507638,50.0,-212502.51,520000.0,66025318.48259992,17975
39,ECU,2017,15580847.809999995,970.5274579544036,60.0,-2039.03,2463701.93,477978172.3705781,16054
40,ECU,2018,9541933.96,697.8668880274994,60.0,-5000.0,402000.0,31455534.329515506,13673
41,ECU,2019,15635978.709999995,1242.0350075462702,50.0,-5000.0,1505300.0,296795553.2363552,12589
42,ECU,2020,7702791.330000007,883.1450733776667,0.0,-67065.0,351678.56,34779088.34670167,8722
43,FRESNO,2015,6805051.029999998,1826.3690365002685,400.0,-35.0,1226931.24,431776335.7274528,3726
44,FRESNO,2016,6538226.02,1934.958869488014,500.0,-746.0,660000.0,168856797.36485955,3379
45,FRESNO,2017,6419124.08,1872.556616102684,500.0,0.0,410466.0,89279582.02018926,3428
46,FRESNO,2018,7411469.039999997,1962.263447180301,600.0,-652444.49,135560.0,152452493.96967086,3777
47,FRESNO,2019,8843063.99,2076.811646312823,500.0,-136.0,250000.0,46084266.04748149,4258
