,tag,tag_count
0,'ADVSEED',340
1,'INACTIVESTUD',274
2,'ET',264
3,'PPC.ADVCK',255
4,'WHCONV',224
5,'WCUNLINK',211
6,'ADV12292015',172
7,'ADVCK082619',167
8,'LFLUNCH',142
9,'NMC18NONSTHNONDEMAIL',135
10,'NONSTMNOND17',133
11,'STADIUMSURVEY',126
12,'ADVADD091519',110
13,'2020GGAData',101
14,'LINKED',98
15,'STUDBT18',93
16,'CONV.ADDR',90
17,'ADVTAG',86
18,'2020GGANamePull',84
19,'F18IndSale',77
20,'ADVADD112019',76
21,'ADVDON',75
22,'UNLINKED',75
23,'STUDBT19',73
24,'STUD',73
25,'STUDBT16',72
26,'STUDENTFALL2019',65
27,'ADVCK091119',58
28,'ADVCK090919',58
29,'STUDBT17',57
30,'STUDENT',53
31,'STUDBT15',52
32,'U031521PS',48
33,'STUDENTSPRING2020',47
34,'U011520ps',47
35,'FB15YA',47
36,'U081420',46
37,'U060920',46
38,'U090120',46
39,'STUDENT2020',45
40,'2020GGANamePull2',45
41,'YAFB19',45
42,'U031721',44
43,'U031521',43
44,'MIDNAME',43
45,'YAFB17',42
46,'U011520',41
47,'Match101707',41
48,'FB18YA',40
49,'U032421',40
50,'U072820',37
51,'Match070907',33
52,'ELS_Failure_030520',33
53,'YAFB16',33
54,'ADVCK103119',33
55,'OLDDONRTAG',32
56,'U071620',32
57,'LTZNUM2',30
58,'POITEST',30
59,'S04',30
60,'ADVADD0930192',28
61,'U63020',27
62,'BAF20Prospect',25
63,'LASP12',25
64,'AP06',25
65,'SEASONTICKETS',24
66,'WCLINK',23
67,'ADVCK092619',23
68,'ADV01122016',22
69,'LASP10',20
70,'FB15STUDSEA',20
71,'NEWSTUD15',20
72,'ADVCK',20
73,'2018EmailOnly',20
74,'FB12STUDSEA',19
75,'19MEM',19
76,'FB09STUDSEA',19
77,'LASP.06-S',19
78,'19STHLP',18
79,'LASP11',18
80,'LASP.06',18
81,'LASP13',18
82,'FB03SEA',17
83,'2020GGANamePull4',17
84,'U081020',17
85,'BT17',17
86,'FB17STUDSEA',17
87,'S08-PACMAIL',17
88,'FBSTH',17
89,'ADVADD052019',17
90,'FB18SEA',17
91,'AP07',17
92,'2018TaxReceiptNormal',16
93,'FB16STUDSEA',16
94,'BT16',16
95,'BAMAEMAIL17',16
96,'18MEM',16
97,'FB10STUDSEA',15
98,'TY19',15
99,'FB11STUDSEA',15
100,'FB19CUT',15
101,'SANTONIO',14
102,'TY20',14
103,'Match043007',14
104,'2019NormalTaxReceipt',14
105,'FB14STUDSEA',14
106,'RENEW19LF',14
107,'FB19POSTAPPS',14
108,'FB13DONOR',13
109,'DY18-110SOLICIT',13
110,'NoResponse110%',13
111,'WL-09',13
112,'LASP.12',13
113,'FB17MINIDONOR',13
114,'DONORFB15',13
115,'DONOR16',13
116,'LFPK80',13
117,'ACTIVEBT',13
118,'FB16ADDRVERIF',13
119,'FB16-FBS',13
120,'FB15SEA',13
121,'ADV.PPC060519',12
122,'BAF20-PrintRenewal',12
123,'2011DONORS',12
124,'FB14DONOR',12
125,'DONR',12
126,'HOUSTON',12
127,'FB09SEA',12
128,'FB10SEA',12
129,'LPBT2019',12
130,'I.TRANS',12
131,'20MEM',12
132,'FB13SEA',12
133,'FB14SEA',12
134,'FB15WEBAPP10',12
135,'FB15',12
136,'AWAYFB17DON',12
137,'FB16EMAIL',12
138,'FB17WEBAPP10P',12
139,'FB12SEA',12
140,'FB13STUDSEA',12
141,'LASP.10',11
142,'RSD18',11
143,'FB02SEA',11
144,'PSI-JUNE04',11
145,'FB18STUDSEA',11
146,'FB19STUDSEA',11
147,'AWAYFB15',11
148,'FB18NA',11
149,'FB14APP10',11
150,'FB11SEA',11
151,'ScheduleReleaseEmail20210128',10
152,'DY19NMN',10
153,'ER20',10
154,'2018SeatNoANF',10
155,'19-20STH',10
156,'TYFB20',10
157,'USCDAY3MAX4',10
158,'NG201805',10
159,'FB07STUDSEA',10
160,'FB06SEA',9
161,'FB04SEA',9
162,'2021JanuaryInvoice',9
163,'VarO',9
164,'WL03',9
165,'DALLAS',9
166,'COINS',9
167,'FB08SEA',9
168,'FB5K',9
169,'LASP.11',9
170,'FB07SEA',8
171,'FB05SEA',8
172,'NewVarO',8
173,'MB15GPEMAIL',8
174,'FBTYEE',8
