,userdefinedfields,userdefinedfields_count
0,WCO,227
1,SHIPMILES,198
2,STID,172
3,CLC1,104
4,AI,102
5,SG,93
6,AR,93
7,UA1,70
8,ADN,53
9,ACN,53
10,EID,44
11,MGSTAT,44
12,LinkedIn,32
13,UA2,26
14,C1BD,23
15,APFBPREV,23
16,APFBCURRENT,20
17,VS,18
18,BANNER,13
19,ALUM1,13
20,C1A,11
21,LW,11
22,2020MSHIP,11
23,04-16-20-RANK,9
24,08-06-20-RANK,9
25,RANK,8
26,12-31-20RANK,8
27,SP,7
28,C2BD,7
29,LCLUB,7
30,WC-CC,6
31,WC-LG,6
32,WC-STATUS,6
33,WC-CY,6
34,WC-START,6
35,WC-EXPIRES,6
36,WC-CIRCLE,6
37,PH2,5
38,C2A,4
39,FB,3
40,PH1D,3
41,PH2D,3
42,ALUM2,3
43,PPR,2
44,PH1,2
45,StudentID,2
46,DOB,1
47,P1,1
48,P1D,1
49,APMBKPREV,1
50,LUID-MAIN,1
51,UCC,1
52,APO1,1
53,AP,1
